replicate,scenario,family,family_label,abundance,mean_capacity,population,window_mean_wealth_gini,window_mean_welfare,final_wealth_gini,final_mean_energy
3,centralized_low,centralized,Centralized,low,0.35,32,0.17139071731202576,0.0,0.17028348250682313,0.0
3,decentralized_low,decentralized,Decentralized,low,0.35,4,0.01558119861653033,0.04415101820119514,0.010605459038543819,0.05221921955993023
3,decentralized_low,decentralized,Decentralized,low,0.35,8,0.05099565809148552,0.02464389812556049,0.048540381906852836,0.044806670798595315
3,decentralized_low,decentralized,Decentralized,low,0.35,16,0.06379666145326059,0.00588357695765249,0.06189728693919938,0.012171251643530797
3,decentralized_low,decentralized,Decentralized,low,0.35,32,0.16736551569475439,0.0,0.16648089494727047,0.0
3,fragmented_low,fragmented,Fragmented,low,0.35,4,0.014339382484807062,0.046390127166433516,0.008499832243081373,0.06493425933055981
3,fragmented_low,fragmented,Fragmented,low,0.35,8,0.046098535839511054,0.023195809196451186,0.04405159497892974,0.03268483645988156
3,fragmented_low,fragmented,Fragmented,low,0.35,16,0.05788400326068464,0.005407884996333437,0.05614700033604825,0.008287287310300652
3,fragmented_low,fragmented,Fragmented,low,0.35,32,0.17209123286759742,0.0,0.17111916598786236,0.0
4,uniform_high,uniform,Uniform,high,0.75,4,0.025209882860574396,0.25822021645715537,0.032724487600462204,0.4912408079839047
4,uniform_high,uniform,Uniform,high,0.75,8,0.024624715473119393,0.1771281644760809,0.029162512358434922,0.21144927063772126
4,uniform_high,uniform,Uniform,high,0.75,16,0.04729951921385517,0.05080465552342929,0.04532570344026143,0.06307108638412012
4,uniform_high,uniform,Uniform,high,0.75,32,0.14419051012370832,0.0,0.1430347319660481,0.0
4,weak_patchy_high,weak_patchy,Weak patchy,high,0.75,4,0.02485126070781547,0.2609309931291824,0.031959144560603114,0.48292357434948674
4,weak_patchy_high,weak_patchy,Weak patchy,high,0.75,8,0.024375416911149417,0.1748308091196852,0.028725308454925713,0.2124536277207638
4,weak_patchy_high,weak_patchy,Weak patchy,high,0.75,16,0.047096630969497566,0.050502227537542035,0.044687441118344884,0.061966635771402115
4,weak_patchy_high,weak_patchy,Weak patchy,high,0.75,32,0.1431318384429548,0.0,0.14190202197162116,0.0
4,patchy_high,patchy,Patchy,high,0.75,4,0.030203027208779477,0.2939643649682289,0.03699528104032468,0.49796761079526775
4,patchy_high,patchy,Patchy,high,0.75,8,0.02945626677508395,0.1791167589518311,0.03416145218371769,0.1969853311326371
4,patchy_high,patchy,Patchy,high,0.75,16,0.046235033959797694,0.04672442493441581,0.04482557109584273,0.05327683364203524
4,patchy_high,patchy,Patchy,high,0.75,32,0.14746804624402635,0.0,0.1460377122418266,0.0
4,centralized_high,centralized,Centralized,high,0.75,4,0.02663149931350116,0.24603416443075354,0.03422564091557234,0.48603618508502233
4,centralized_high,centralized,Centralized,high,0.75,8,0.02971621660959588,0.1882810640642775,0.03536727411876672,0.23765331254714778
4,centralized_high,centralized,Centralized,high,0.75,16,0.047851392988723894,0.04850366335293081,0.04742452032388811,0.06277676929965499
4,centralized_high,centralized,Centralized,high,0.75,32,0.1470415438896764,0.0,0.1459741701606323,0.0
4,decentralized_high,decentralized,Decentralized,high,0.75,4,0.02591143054228395,0.26298765810084207,0.03196361311647866,0.4797958520730518
4,decentralized_high,decentralized,Decentralized,high,0.75,8,0.027500661777251682,0.17436593799624725,0.031362815669832456,0.2163904206049605
4,decentralized_high,decentralized,Decentralized,high,0.75,16,0.04760436214958664,0.0461598347466408,0.046173415412461116,0.057805399683064
4,decentralized_high,decentralized,Decentralized,high,0.75,32,0.14206010964188429,0.0,0.14103040861190475,0.0
4,fragmented_high,fragmented,Fragmented,high,0.75,4,0.02796421576983927,0.2580933048408919,0.034097739454818976,0.46150399840291073
4,fragmented_high,fragmented,Fragmented,high,0.75,8,0.028031364324215186,0.17700846276194432,0.03298271423619559,0.21169116892435277
4,fragmented_high,fragmented,Fragmented,high,0.75,16,0.046870093456089064,0.04840589727847556,0.044349509846191904,0.05650257689082158
4,fragmented_high,fragmented,Fragmented,high,0.75,32,0.13583095606141687,0.0,0.13450831233809457,0.0
4,uniform_low,uniform,Uniform,low,0.35,4,0.018148552393907808,0.04614188946852025,0.02330575495244913,0.08065627889286237
4,uniform_low,uniform,Uniform,low,0.35,8,0.02908984120266335,0.02483684803357789,0.030420188168025497,0.029483368930776452
4,uniform_low,uniform,Uniform,low,0.35,16,0.0541854569170392,0.006070858867198104,0.051334157694224336,0.009593965708394357
4,uniform_low,uniform,Uniform,low,0.35,32,0.1434242001083755,0.0,0.14207693914151065,0.0
4,weak_patchy_low,weak_patchy,Weak patchy,low,0.35,4,0.01705681553452574,0.04463329056994908,0.02224552414404246,0.07917871389022685
4,weak_patchy_low,weak_patchy,Weak patchy,low,0.35,8,0.029309487286313825,0.024282232607784268,0.03053613679264311,0.02898988988703842
