scenario,population,replicate,agent,x,y,region,policy_scarce,policy_moderate,policy_abundant,cooperation_preference,wealth,energy
decentralized_high,16,3,agent_7,5,3,decentralized_high,D,D,C,0.3333333333333333,117.10199999999381,106.10200000000292
decentralized_high,16,3,agent_8,9,3,decentralized_high,D,D,C,0.3333333333333333,43.412744620986516,32.41274462098965
decentralized_high,16,3,agent_9,7,9,decentralized_high,D,D,C,0.3333333333333333,105.02399999999713,94.02400000000246
decentralized_high,16,3,agent_10,2,6,decentralized_high,C,D,D,0.3333333333333333,116.45399999999397,105.45400000000289
decentralized_high,16,3,agent_11,1,0,decentralized_high,D,D,D,0.0,108.45313172947185,97.45313172947778
decentralized_high,16,3,agent_12,6,7,decentralized_high,C,D,C,0.6666666666666666,116.83199999999387,105.8320000000029
decentralized_high,16,3,agent_13,8,2,decentralized_high,D,D,D,0.0,102.23399999999658,91.23400000000235
decentralized_high,16,3,agent_14,8,5,decentralized_high,D,D,C,0.3333333333333333,88.50275141097347,77.50275141097391
decentralized_high,16,3,agent_15,8,4,decentralized_high,D,D,C,0.3333333333333333,89.5425076350709,78.54250763507106
decentralized_high,32,3,agent_0,8,6,decentralized_high,D,D,C,0.3333333333333333,37.62328833028051,26.623288330282765
decentralized_high,32,3,agent_1,5,0,decentralized_high,D,D,C,0.3333333333333333,51.99529052902016,40.99529052901861
decentralized_high,32,3,agent_2,0,2,decentralized_high,D,D,D,0.0,23.421330077038075,12.421330077036496
decentralized_high,32,3,agent_3,9,9,decentralized_high,D,C,C,0.6666666666666666,17.807918758367283,6.807918758368497
decentralized_high,32,3,agent_4,3,2,decentralized_high,D,D,D,0.0,65.72873352937567,54.728733529370935
decentralized_high,32,3,agent_5,9,3,decentralized_high,D,D,C,0.3333333333333333,21.2984284316476,10.298428431646439
decentralized_high,32,3,agent_6,1,4,decentralized_high,D,D,C,0.3333333333333333,79.1047851922096,68.10478519220557
decentralized_high,32,3,agent_7,5,3,decentralized_high,D,D,C,0.3333333333333333,18.947312864368655,7.94731286436951
decentralized_high,32,3,agent_8,9,3,decentralized_high,D,D,C,0.3333333333333333,21.42814822212008,10.428148222118773
decentralized_high,32,3,agent_9,7,9,decentralized_high,D,D,C,0.3333333333333333,65.28704327628529,54.287043276280585
decentralized_high,32,3,agent_10,2,6,decentralized_high,D,D,D,0.0,42.965768716313875,31.965768716316543
